Date,Product Name,Product Type,Brand,Gender,Category,Country,Quantity,Unit Price ($),Amount ($),Payment Mode
2022-06-29,Puma Joggers,Joggers,Puma,Men,Casual,Japan,3,127.36,382.08,Card
2022-05-25,Supreme Hoodie,Hoodie,Supreme,Men,Streetwear,Japan,3,149.51,448.53,Cash on Delivery
2022-03-09,New Era Cap,Cap,New Era,Men,Casual,India,3,136.36,409.08,Card
2022-08-21,Nike Tech Fleece,Hoodie,Nike,Unisex,Casual,UK,5,162.38,811.9,Card
2022-05-27,Puma Joggers,Joggers,Puma,Women,Sportswear,Australia,2,259.66,519.32,Wallet
2022-05-22,Off-White Hoodie,Hoodie,Off-White,Men,Streetwear,Canada,1,180.39,180.39,Card
2022-06-02,Off-White Hoodie,Hoodie,Off-White,Men,Limited Edition,Canada,3,80.35,241.05,Card
2022-03-06,Fear of God Essentials Tee,T-shirt,Essentials,Men,Streetwear,Japan,2,222.08,444.16,UPI
2022-03-21,Puma Joggers,Joggers,Puma,Women,Sportswear,Germany,1,287.44,287.44,UPI
2022-07-16,Fear of God Essentials Tee,T-shirt,Essentials,Unisex,Limited Edition,UK,5,137.9,689.5,UPI
2022-03-19,Off-White Hoodie,Hoodie,Off-White,Unisex,Streetwear,Canada,3,214.68,644.04,UPI
2022-08-04,Nike Tech Fleece,Hoodie,Nike,Women,Limited Edition,USA,2,269.88,539.76,Cash on Delivery
2022-05-03,Jordan 1 High,Sneakers,Nike,Unisex,Sportswear,India,1,96.97,96.97,Wallet
2022-07-01,New Era Cap,Cap,New Era,Women,Limited Edition,Australia,4,270.55,1082.2,Cash on Delivery
2022-06-16,Adidas Ultraboost,Sneakers,Adidas,Unisex,Sportswear,Australia,3,261.31,783.93,Card
2022-01-10,New Era Cap,Cap,New Era,Unisex,Sportswear,USA,4,56.4,225.6,Card
2022-07-08,Yeezy Boost 350,Sneakers,Adidas,Men,Sportswear,Germany,3,239.55,718.65,Card
2022-08-20,Jordan 1 High,Sneakers,Nike,Unisex,Limited Edition,Germany,2,94.62,189.24,Cash on Delivery
2022-07-24,Fear of God Essentials Tee,T-shirt,Essentials,Unisex,Limited Edition,Germany,4,57.22,228.88,Cash on Delivery
2022-07-14,Nike Dunk Low,Sneakers,Nike,Men,Limited Edition,Germany,1,170.86,170.86,Wallet
2022-02-11,Adidas Ultraboost,Sneakers,Adidas,Men,Streetwear,Australia,3,105.79,317.37,Wallet
2022-05-26,Adidas Ultraboost,Sneakers,Adidas,Men,Streetwear,Australia,5,112.95,564.75,Card
2022-08-20,Off-White Hoodie,Hoodie,Off-White,Unisex,Limited Edition,USA,5,55.8,279.0,Card
2022-05-05,Supreme Hoodie,Hoodie,Supreme,Men,Sportswear,India,1,50.1,50.1,Card
2022-08-31,Yeezy Boost 350,Sneakers,Adidas,Men,Limited Edition,USA,1,56.49,56.49,UPI
2022-04-21,Off-White Hoodie,Hoodie,Off-White,Men,Sportswear,Australia,5,100.65,503.25,Wallet
2022-08-21,Adidas Ultraboost,Sneakers,Adidas,Men,Casual,Japan,2,160.44,320.88,UPI
2022-04-15,Puma Joggers,Joggers,Puma,Women,Streetwear,Japan,4,242.44,969.76,Cash on Delivery
2022-05-07,Yeezy Boost 350,Sneakers,Adidas,Unisex,Streetwear,Australia,2,209.81,419.62,Card
2022-03-14,Adidas Ultraboost,Sneakers,Adidas,Men,Casual,India,4,261.96,1047.84,Cash on Delivery
2022-08-30,Supreme Hoodie,Hoodie,Supreme,Men,Casual,USA,3,242.71,728.13,Cash on Delivery
2022-06-06,Jordan 1 High,Sneakers,Nike,Women,Limited Edition,USA,5,299.3,1496.5,Card
2022-08-29,Yeezy Boost 350,Sneakers,Adidas,Unisex,Streetwear,USA,4,162.85,651.4,UPI
2022-08-02,Puma Joggers,Joggers,Puma,Unisex,Streetwear,Japan,5,215.63,1078.15,Card
2022-05-31,Jordan 1 High,Sneakers,Nike,Women,Limited Edition,Germany,1,54.99,54.99,Cash on Delivery
2022-02-01,Yeezy Boost 350,Sneakers,Adidas,Men,Sportswear,UK,4,185.7,742.8,Wallet
2022-04-09,Nike Tech Fleece,Hoodie,Nike,Unisex,Streetwear,Canada,2,153.75,307.5,Cash on Delivery
2022-03-21,Supreme Hoodie,Hoodie,Supreme,Men,Limited Edition,Australia,5,235.5,1177.5,Wallet
2022-07-23,Supreme Hoodie,Hoodie,Supreme,Women,Casual,Canada,3,239.76,719.28,Card
2022-02-07,Off-White Hoodie,Hoodie,Off-White,Men,Casual,USA,4,213.82,855.28,Card
2022-04-27,Yeezy Boost 350,Sneakers,Adidas,Women,Casual,Japan,1,67.2,67.2,Wallet
2022-03-07,New Era Cap,Cap,New Era,Men,Sportswear,Japan,4,207.05,828.2,UPI
2022-05-05,Nike Tech Fleece,Hoodie,Nike,Unisex,Sportswear,Japan,3,257.92,773.76,Wallet
2022-06-18,Yeezy Boost 350,Sneakers,Adidas,Women,Limited Edition,Canada,1,122.32,122.32,Cash on Delivery
2022-05-26,Fear of God Essentials Tee,T-shirt,Essentials,Unisex,Casual,USA,1,203.63,203.63,Cash on Delivery
2022-05-28,Jordan 1 High,Sneakers,Nike,Men,Sportswear,Canada,3,278.15,834.45,Wallet
2022-07-03,Nike Tech Fleece,Hoodie,Nike,Men,Sportswear,Germany,3,129.78,389.34,Card
2022-06-05,Jordan 1 High,Sneakers,Nike,Men,Casual,Australia,5,199.42,997.1,Cash on Delivery
2022-06-26,Adidas Ultraboost,Sneakers,Adidas,Men,Limited Edition,Japan,5,98.23,491.15,Cash on Delivery
2022-05-07,Nike Dunk Low,Sneakers,Nike,Unisex,Streetwear,Australia,1,114.47,114.47,Wallet
2022-03-04,Puma Joggers,Joggers,Puma,Women,Streetwear,Japan,5,224.71,1123.55,UPI
2022-01-29,Jordan 1 High,Sneakers,Nike,Unisex,Limited Edition,India,3,104.04,312.12,Cash on Delivery
2022-03-02,Puma Joggers,Joggers,Puma,Men,Sportswear,UK,5,140.26,701.3,Card
2022-06-01,Adidas Ultraboost,Sneakers,Adidas,Men,Streetwear,UK,5,215.38,1076.9,Card
2022-05-15,Yeezy Boost 350,Sneakers,Adidas,Women,Limited Edition,Australia,4,127.55,510.2,Cash on Delivery
2022-08-30,Jordan 1 High,Sneakers,Nike,Women,Limited Edition,UK,3,182.2,546.6,Card
2022-04-04,Nike Tech Fleece,Hoodie,Nike,Men,Casual,Germany,4,246.66,986.64,Cash on Delivery
2022-06-16,Yeezy Boost 350,Sneakers,Adidas,Women,Casual,Japan,5,262.68,1313.4,Wallet
2022-01-24,Adidas Ultraboost,Sneakers,Adidas,Men,Limited Edition,USA,3,101.39,304.17,Cash on Delivery
2022-02-14,Off-White Hoodie,Hoodie,Off-White,Women,Casual,Japan,1,59.05,59.05,Cash on Delivery
2022-03-09,Off-White Hoodie,Hoodie,Off-White,Unisex,Streetwear,Canada,1,101.32,101.32,UPI
2022-07-16,Nike Dunk Low,Sneakers,Nike,Men,Sportswear,Australia,4,228.88,915.52,Card
2022-06-15,Nike Dunk Low,Sneakers,Nike,Women,Limited Edition,Japan,4,258.6,1034.4,Card
2022-02-19,Adidas Ultraboost,Sneakers,Adidas,Unisex,Streetwear,Australia,4,129.95,519.8,Cash on Delivery
2022-07-06,Adidas Ultraboost,Sneakers,Adidas,Women,Casual,Germany,5,190.03,950.15,Cash on Delivery
2022-02-01,New Era Cap,Cap,New Era,Unisex,Casual,Canada,1,239.21,239.21,Wallet
2022-03-25,Fear of God Essentials Tee,T-shirt,Essentials,Unisex,Streetwear,Australia,1,271.18,271.18,Cash on Delivery
2022-02-03,Puma Joggers,Joggers,Puma,Women,Streetwear,Japan,5,140.65,703.25,Wallet
2022-06-30,Fear of God Essentials Tee,T-shirt,Essentials,Unisex,Streetwear,UK,3,97.21,291.63,Cash on Delivery
2022-02-12,Supreme Hoodie,Hoodie,Supreme,Men,Sportswear,UK,5,110.05,550.25,Card
2022-07-15,Adidas Ultraboost,Sneakers,Adidas,Unisex,Casual,Germany,1,209.13,209.13,Cash on Delivery
2022-02-06,Nike Dunk Low,Sneakers,Nike,Women,Sportswear,Australia,1,256.81,256.81,Card
2022-01-20,Supreme Hoodie,Hoodie,Supreme,Women,Limited Edition,Germany,2,53.05,106.1,Cash on Delivery
2022-04-03,Yeezy Boost 350,Sneakers,Adidas,Men,Sportswear,UK,4,127.11,508.44,Cash on Delivery
2022-07-02,Nike Tech Fleece,Hoodie,Nike,Women,Sportswear,Japan,2,259.46,518.92,Wallet
2022-03-12,Off-White Hoodie,Hoodie,Off-White,Unisex,Casual,UK,2,183.29,366.58,Wallet
2022-01-16,Off-White Hoodie,Hoodie,Off-White,Women,Sportswear,Canada,2,130.4,260.8,Cash on Delivery
2022-03-01,Yeezy Boost 350,Sneakers,Adidas,Men,Streetwear,Canada,5,112.04,560.2,Wallet
2022-02-27,Puma Joggers,Joggers,Puma,Women,Casual,Japan,5,85.1,425.5,Cash on Delivery
2022-07-02,Puma Joggers,Joggers,Puma,Unisex,Streetwear,Australia,1,180.65,180.65,Cash on Delivery
2022-02-08,New Era Cap,Cap,New Era,Women,Casual,UK,5,147.13,735.65,Wallet
2022-01-22,Puma Joggers,Joggers,Puma,Women,Limited Edition,Australia,3,110.78,332.34,Cash on Delivery
2022-06-24,Nike Tech Fleece,Hoodie,Nike,Women,Streetwear,India,5,58.37,291.85,UPI
2022-07-23,Supreme Hoodie,Hoodie,Supreme,Women,Casual,Germany,5,241.67,1208.35,Card
2022-07-25,Off-White Hoodie,Hoodie,Off-White,Women,Limited Edition,USA,2,89.67,179.34,UPI
2022-05-29,Nike Dunk Low,Sneakers,Nike,Women,Streetwear,Canada,1,132.09,132.09,UPI
2022-08-04,New Era Cap,Cap,New Era,Women,Casual,Japan,2,202.18,404.36,UPI
2022-02-12,Yeezy Boost 350,Sneakers,Adidas,Men,Casual,UK,3,90.19,270.57,Cash on Delivery
2022-03-01,Nike Tech Fleece,Hoodie,Nike,Unisex,Streetwear,USA,2,179.28,358.56,Cash on Delivery
2022-03-23,Nike Tech Fleece,Hoodie,Nike,Men,Sportswear,USA,5,188.61,943.05,Wallet
2022-08-30,Fear of God Essentials Tee,T-shirt,Essentials,Men,Sportswear,UK,2,111.36,222.72,Card
2022-02-18,New Era Cap,Cap,New Era,Women,Sportswear,UK,3,53.98,161.94,Cash on Delivery
2022-05-28,Off-White Hoodie,Hoodie,Off-White,Unisex,Streetwear,Canada,4,240.64,962.56,Cash on Delivery
2022-02-28,Off-White Hoodie,Hoodie,Off-White,Women,Casual,USA,5,195.57,977.85,Cash on Delivery
2022-03-09,Nike Tech Fleece,Hoodie,Nike,Unisex,Streetwear,Canada,3,224.66,673.98,Cash on Delivery
2022-04-28,Puma Joggers,Joggers,Puma,Women,Sportswear,Canada,3,65.2,195.6,Wallet
2022-07-13,Adidas Ultraboost,Sneakers,Adidas,Women,Limited Edition,Canada,4,117.78,471.12,UPI
2022-02-09,Jordan 1 High,Sneakers,Nike,Women,Streetwear,India,4,214.93,859.72,Card
2022-08-16,Puma Joggers,Joggers,Puma,Unisex,Limited Edition,Japan,2,249.49,498.98,Cash on Delivery
2022-06-13,Yeezy Boost 350,Sneakers,Adidas,Men,Casual,India,4,141.35,565.4,UPI
2022-03-03,Puma Joggers,Joggers,Puma,Unisex,Limited Edition,Japan,3,264.14,792.42,Card
2022-01-03,Fear of God Essentials Tee,T-shirt,Essentials,Unisex,Casual,UK,5,73.58,367.9,UPI
2022-07-26,Fear of God Essentials Tee,T-shirt,Essentials,Unisex,Streetwear,USA,1,106.59,106.59,Card
2022-02-12,Nike Tech Fleece,Hoodie,Nike,Men,Streetwear,Canada,3,59.98,179.94,UPI
2022-03-02,Puma Joggers,Joggers,Puma,Women,Casual,Japan,3,87.81,263.43,Card
2022-04-06,Nike Tech Fleece,Hoodie,Nike,Men,Sportswear,Japan,2,283.6,567.2,UPI
2022-08-11,Puma Joggers,Joggers,Puma,Men,Limited Edition,Japan,2,194.31,388.62,UPI
2022-06-23,Supreme Hoodie,Hoodie,Supreme,Unisex,Limited Edition,Japan,4,199.68,798.72,Wallet
2022-04-08,Fear of God Essentials Tee,T-shirt,Essentials,Women,Sportswear,Japan,5,145.47,727.35,Card
2022-01-31,Supreme Hoodie,Hoodie,Supreme,Women,Limited Edition,Australia,1,141.11,141.11,UPI
2022-04-16,Jordan 1 High,Sneakers,Nike,Women,Casual,UK,2,188.4,376.8,Card
2022-03-30,Supreme Hoodie,Hoodie,Supreme,Men,Limited Edition,Germany,4,145.28,581.12,Card
2022-07-15,Adidas Ultraboost,Sneakers,Adidas,Men,Streetwear,Australia,2,277.48,554.96,Card
2022-08-16,Nike Tech Fleece,Hoodie,Nike,Women,Limited Edition,Japan,4,153.56,614.24,Wallet
2022-03-15,Fear of God Essentials Tee,T-shirt,Essentials,Men,Casual,Japan,2,74.83,149.66,Card
2022-07-06,Supreme Hoodie,Hoodie,Supreme,Women,Limited Edition,Germany,1,136.8,136.8,UPI
2022-06-26,Yeezy Boost 350,Sneakers,Adidas,Unisex,Casual,USA,3,209.69,629.07,Wallet
2022-03-18,Supreme Hoodie,Hoodie,Supreme,Men,Casual,India,3,200.87,602.61,Cash on Delivery
2022-02-04,Puma Joggers,Joggers,Puma,Men,Streetwear,Japan,1,221.26,221.26,Card
2022-01-03,Nike Dunk Low,Sneakers,Nike,Women,Streetwear,USA,5,176.98,884.9,Card
2022-08-06,New Era Cap,Cap,New Era,Men,Casual,UK,5,77.08,385.4,Wallet
2022-03-06,Jordan 1 High,Sneakers,Nike,Men,Casual,Canada,4,239.54,958.16,Wallet
2022-03-19,Supreme Hoodie,Hoodie,Supreme,Men,Streetwear,India,5,179.54,897.7,UPI
2022-04-05,Off-White Hoodie,Hoodie,Off-White,Women,Streetwear,Canada,3,274.23,822.69,Cash on Delivery
2022-03-11,Nike Tech Fleece,Hoodie,Nike,Women,Limited Edition,India,5,99.89,499.45,Cash on Delivery
2022-04-03,Yeezy Boost 350,Sneakers,Adidas,Women,Sportswear,UK,4,148.11,592.44,Cash on Delivery
2022-06-30,Jordan 1 High,Sneakers,Nike,Unisex,Sportswear,India,5,81.97,409.85,Cash on Delivery
2022-01-09,Yeezy Boost 350,Sneakers,Adidas,Women,Limited Edition,India,3,291.29,873.87,Wallet
2022-05-02,Adidas Ultraboost,Sneakers,Adidas,Men,Streetwear,Canada,5,138.95,694.75,UPI
2022-01-27,Adidas Ultraboost,Sneakers,Adidas,Men,Streetwear,Japan,4,208.19,832.76,Wallet
2022-07-27,Jordan 1 High,Sneakers,Nike,Men,Limited Edition,India,5,291.7,1458.5,Wallet
2022-06-10,Fear of God Essentials Tee,T-shirt,Essentials,Women,Sportswear,Australia,3,209.89,629.67,UPI
2022-05-04,Jordan 1 High,Sneakers,Nike,Unisex,Casual,Japan,4,171.49,685.96,Cash on Delivery
2022-01-17,Nike Tech Fleece,Hoodie,Nike,Men,Casual,Germany,3,156.22,468.66,Wallet
2022-06-07,Yeezy Boost 350,Sneakers,Adidas,Men,Streetwear,Japan,4,158.82,635.28,UPI
2022-07-12,Off-White Hoodie,Hoodie,Off-White,Men,Sportswear,UK,3,218.91,656.73,Wallet
2022-07-27,Supreme Hoodie,Hoodie,Supreme,Women,Limited Edition,Australia,5,54.88,274.4,Wallet
2022-05-08,New Era Cap,Cap,New Era,Women,Sportswear,Canada,1,75.27,75.27,Card
2022-06-12,Puma Joggers,Joggers,Puma,Men,Limited Edition,India,1,144.04,144.04,Cash on Delivery
2022-07-26,Jordan 1 High,Sneakers,Nike,Men,Streetwear,Germany,4,196.45,785.8,UPI
2022-01-17,Nike Dunk Low,Sneakers,Nike,Men,Limited Edition,USA,3,213.66,640.98,Card
2022-08-16,Yeezy Boost 350,Sneakers,Adidas,Men,Streetwear,UK,1,164.57,164.57,Cash on Delivery
2022-04-13,Jordan 1 High,Sneakers,Nike,Men,Casual,Canada,4,203.25,813.0,Wallet
2022-05-13,Off-White Hoodie,Hoodie,Off-White,Women,Sportswear,UK,5,91.11,455.55,Cash on Delivery
2022-02-17,Off-White Hoodie,Hoodie,Off-White,Unisex,Streetwear,USA,3,57.92,173.76,Cash on Delivery
2022-07-31,Jordan 1 High,Sneakers,Nike,Women,Limited Edition,Japan,3,209.3,627.9,Wallet
2022-08-25,Adidas Ultraboost,Sneakers,Adidas,Unisex,Casual,Germany,1,112.26,112.26,UPI
2022-08-30,Nike Dunk Low,Sneakers,Nike,Women,Limited Edition,Canada,2,216.83,433.66,UPI
2022-07-21,Puma Joggers,Joggers,Puma,Unisex,Limited Edition,Canada,5,68.52,342.6,UPI
2022-08-02,Supreme Hoodie,Hoodie,Supreme,Men,Casual,Canada,1,98.04,98.04,Cash on Delivery
2022-06-30,Fear of God Essentials Tee,T-shirt,Essentials,Men,Casual,India,5,204.35,1021.75,Wallet
2022-04-10,Nike Dunk Low,Sneakers,Nike,Women,Streetwear,Germany,4,283.7,1134.8,Card
2022-07-03,Off-White Hoodie,Hoodie,Off-White,Women,Limited Edition,India,4,172.52,690.08,UPI
2022-02-26,Jordan 1 High,Sneakers,Nike,Men,Limited Edition,USA,3,51.81,155.43,Wallet
2022-04-29,Nike Tech Fleece,Hoodie,Nike,Men,Sportswear,Japan,5,71.28,356.4,Cash on Delivery
2022-02-24,Yeezy Boost 350,Sneakers,Adidas,Unisex,Sportswear,Canada,2,248.44,496.88,Cash on Delivery
2022-07-03,Yeezy Boost 350,Sneakers,Adidas,Women,Sportswear,India,2,107.04,214.08,Card
2022-08-30,Puma Joggers,Joggers,Puma,Women,Sportswear,Australia,1,132.07,132.07,Wallet
2022-07-09,Nike Dunk Low,Sneakers,Nike,Men,Casual,Japan,3,118.37,355.11,Card
2022-04-18,Nike Tech Fleece,Hoodie,Nike,Women,Streetwear,Germany,5,243.74,1218.7,Wallet
2022-01-16,Nike Dunk Low,Sneakers,Nike,Unisex,Limited Edition,Japan,5,150.02,750.1,Cash on Delivery
2022-04-02,Nike Tech Fleece,Hoodie,Nike,Women,Streetwear,Australia,3,73.31,219.93,Wallet
2022-08-25,Puma Joggers,Joggers,Puma,Men,Casual,Australia,2,176.24,352.48,Cash on Delivery
2022-05-27,Adidas Ultraboost,Sneakers,Adidas,Women,Sportswear,UK,5,135.5,677.5,UPI
2022-08-18,Fear of God Essentials Tee,T-shirt,Essentials,Men,Sportswear,Canada,4,250.12,1000.48,Card
2022-07-03,Yeezy Boost 350,Sneakers,Adidas,Women,Casual,Australia,4,145.89,583.56,Card
2022-05-07,Nike Tech Fleece,Hoodie,Nike,Unisex,Casual,USA,4,281.54,1126.16,Wallet
2022-06-25,Jordan 1 High,Sneakers,Nike,Unisex,Casual,Australia,4,121.42,485.68,Card
2022-06-03,Jordan 1 High,Sneakers,Nike,Women,Streetwear,India,4,265.91,1063.64,UPI
2022-01-25,Fear of God Essentials Tee,T-shirt,Essentials,Women,Limited Edition,Germany,1,240.42,240.42,Card
2022-01-08,Adidas Ultraboost,Sneakers,Adidas,Women,Sportswear,USA,5,275.27,1376.35,Card
2022-08-09,Supreme Hoodie,Hoodie,Supreme,Women,Streetwear,India,3,154.79,464.37,Card
2022-08-13,Supreme Hoodie,Hoodie,Supreme,Unisex,Sportswear,India,5,139.0,695.0,UPI
2022-06-21,Nike Tech Fleece,Hoodie,Nike,Unisex,Streetwear,Australia,3,79.27,237.81,Card
2022-08-23,Off-White Hoodie,Hoodie,Off-White,Men,Casual,Canada,2,237.1,474.2,Cash on Delivery
2022-01-29,Off-White Hoodie,Hoodie,Off-White,Men,Casual,UK,4,228.46,913.84,Cash on Delivery
2022-06-12,Supreme Hoodie,Hoodie,Supreme,Men,Sportswear,Canada,4,52.42,209.68,Wallet
2022-08-26,Nike Dunk Low,Sneakers,Nike,Men,Limited Edition,Japan,3,270.52,811.56,UPI
2022-01-08,Jordan 1 High,Sneakers,Nike,Unisex,Limited Edition,UK,4,119.36,477.44,Cash on Delivery
2022-01-23,New Era Cap,Cap,New Era,Women,Limited Edition,UK,3,125.26,375.78,Wallet
2022-06-02,Off-White Hoodie,Hoodie,Off-White,Women,Casual,Canada,3,296.55,889.65,Card
2022-06-13,Puma Joggers,Joggers,Puma,Women,Casual,UK,1,56.73,56.73,Wallet
2022-01-18,Supreme Hoodie,Hoodie,Supreme,Unisex,Casual,UK,1,91.56,91.56,UPI
2022-04-11,New Era Cap,Cap,New Era,Women,Streetwear,USA,2,152.54,305.08,Card
2022-07-04,New Era Cap,Cap,New Era,Women,Casual,Australia,4,61.37,245.48,Cash on Delivery
2022-03-07,Off-White Hoodie,Hoodie,Off-White,Men,Streetwear,Japan,3,162.36,487.08,Wallet
2022-06-29,Supreme Hoodie,Hoodie,Supreme,Men,Streetwear,USA,2,257.5,515.0,UPI
2022-05-21,Nike Dunk Low,Sneakers,Nike,Women,Casual,Germany,4,202.28,809.12,Card
2022-07-07,New Era Cap,Cap,New Era,Unisex,Casual,India,1,224.83,224.83,Cash on Delivery
2022-04-02,Puma Joggers,Joggers,Puma,Men,Streetwear,Canada,3,256.27,768.81,Cash on Delivery
2022-03-26,Yeezy Boost 350,Sneakers,Adidas,Women,Limited Edition,UK,2,277.26,554.52,UPI
2022-07-04,Puma Joggers,Joggers,Puma,Unisex,Streetwear,Canada,3,271.19,813.57,Cash on Delivery
2022-01-12,Off-White Hoodie,Hoodie,Off-White,Men,Streetwear,Canada,3,205.62,616.86,Wallet
2022-08-01,Jordan 1 High,Sneakers,Nike,Men,Streetwear,USA,4,130.97,523.88,Card
